"Group","Name","SizeMB","Path","Source"
"core","card_core_officers_command_room.jpg","0.33","C:\Users\Administrator\TIU_CARD\assets\images\cards\core\card_core_officers_command_room.jpg","지휘관실 앞에 모인 간부4인.jpg"
"core","card_core_lab_corridor.jpg","0.34","C:\Users\Administrator\TIU_CARD\assets\images\cards\core\card_core_lab_corridor.jpg","기지 연구소 복도.png"
"core","card_core_lab_corridor_alt.jpg","0.42","C:\Users\Administrator\TIU_CARD\assets\images\cards\core\card_core_lab_corridor_alt.jpg","기지 연구소 복도 (2).png"
"core","card_core_sewer_leak.jpg","0.54","C:\Users\Administrator\TIU_CARD\assets\images\cards\core\card_core_sewer_leak.jpg","한국지부 하수시설 누수.png"
"core","card_core_wastewater_discharge.jpg","0.55","C:\Users\Administrator\TIU_CARD\assets\images\cards\core\card_core_wastewater_discharge.jpg","한국지부 지하 하수시설에서 쏟아지는 폐수.png"
"core","card_core_road_collapse.jpg","0.48","C:\Users\Administrator\TIU_CARD\assets\images\cards\core\card_core_road_collapse.jpg","기지 인근 도로 붕괴.png"
"core","card_core_secret_passage.jpg","0.44","C:\Users\Administrator\TIU_CARD\assets\images\cards\core\card_core_secret_passage.jpg","기지내 비밀통로.png"
"story","card_story_bloodpit_friendly_noise.jpg","0.51","C:\Users\Administrator\TIU_CARD\assets\images\cards\story\card_story_bloodpit_friendly_noise.jpg","블러드핏 아군 잡음.png"
"story","card_story_shelltalker_lure.jpg","0.44","C:\Users\Administrator\TIU_CARD\assets\images\cards\story\card_story_shelltalker_lure.jpg","숨어서 유인하는 쉘토커.png"
"story","card_story_shelltalker_body_bait.jpg","0.3","C:\Users\Administrator\TIU_CARD\assets\images\cards\story\card_story_shelltalker_body_bait.jpg","쉘토커 촉수가 시체를 미끼로 목소리를 내며 유인.png"
"story","card_story_shelltalker_capture.jpg","0.36","C:\Users\Administrator\TIU_CARD\assets\images\cards\story\card_story_shelltalker_capture.jpg","쉘토커  포획.jpg"
"story","card_story_shelltalker_lab_containment.jpg","0.33","C:\Users\Administrator\TIU_CARD\assets\images\cards\story\card_story_shelltalker_lab_containment.jpg","쉘토커 연구실 포획상태.png"
"story","card_story_shell_walker.jpg","0.37","C:\Users\Administrator\TIU_CARD\assets\images\cards\story\card_story_shell_walker.jpg","쉘워커.jpg"
"story","card_story_shelltalker_breach_escape.jpg","0.4","C:\Users\Administrator\TIU_CARD\assets\images\cards\story\card_story_shelltalker_breach_escape.jpg","탈출 중 쉘토커 격벽 부수고 기습.jpg"
"story","card_story_base_occupation.jpg","0.35","C:\Users\Administrator\TIU_CARD\assets\images\cards\story\card_story_base_occupation.jpg","기지 점거.jpg"
"story","card_story_base_escape.jpg","0.33","C:\Users\Administrator\TIU_CARD\assets\images\cards\story\card_story_base_escape.jpg","기지 탈출.jpg"
"story","card_story_commander_subdued.jpg","0.22","C:\Users\Administrator\TIU_CARD\assets\images\cards\story\card_story_commander_subdued.jpg","요원들에게 제압당한 지휘관.png"
"story","card_story_secret_escape_group.jpg","0.34","C:\Users\Administrator\TIU_CARD\assets\images\cards\story\card_story_secret_escape_group.jpg","한국지부 비밀 통로로 탈출한 지휘관과 간부4인.jpg"
"story","card_story_giant.jpg","0.38","C:\Users\Administrator\TIU_CARD\assets\images\cards\story\card_story_giant.jpg","자이언트.png"
"facility","facility_fe001_cryo_storage.jpg","0.34","C:\Users\Administrator\TIU_CARD\assets\images\facility\facility_fe001_cryo_storage.jpg","기지 연구소 복도.png"
"facility","facility_fe002_training_ground.jpg","0.38","C:\Users\Administrator\TIU_CARD\assets\images\facility\facility_fe002_training_ground.jpg","강도윤 정찰.jpg"
"facility","facility_fe003_sensor_array.jpg","0.34","C:\Users\Administrator\TIU_CARD\assets\images\facility\facility_fe003_sensor_array.jpg","안개 너머 식별되지 않는 무언가.png"
"facility","facility_fe004_medical_bay.jpg","0.33","C:\Users\Administrator\TIU_CARD\assets\images\facility\facility_fe004_medical_bay.jpg","쉘토커 연구실 포획상태.png"
"facility","facility_fe005_supply_route.jpg","0.48","C:\Users\Administrator\TIU_CARD\assets\images\facility\facility_fe005_supply_route.jpg","기지 인근 도로 붕괴.png"
"facility","facility_fe006_cctv_control.jpg","0.29","C:\Users\Administrator\TIU_CARD\assets\images\facility\facility_fe006_cctv_control.jpg","오라클 삭제 시도.jpg"
"facility","facility_fe007_emergency_bunker.jpg","0.44","C:\Users\Administrator\TIU_CARD\assets\images\facility\facility_fe007_emergency_bunker.jpg","기지내 비밀통로.png"
"facility","facility_fe008_north_patrol.jpg","0.37","C:\Users\Administrator\TIU_CARD\assets\images\facility\facility_fe008_north_patrol.jpg","군용트럭에서 내리는 웨버.jpg"
"ending","ending_escape_p1_hq.jpg","0.34","C:\Users\Administrator\TIU_CARD\assets\images\endings\ending_escape_p1_hq.jpg","한국지부 비밀 통로로 탈출한 지휘관과 간부4인.jpg"
"spec","spec_001_mannequin_hq_v2.jpg","0.32","C:\Users\Administrator\TIU_CARD\assets\images\specs\spec_001_mannequin_hq_v2.jpg","생성: 마네킹 고화질 참조"
"spec","spec_003_brood_hq_v2.jpg","0.43","C:\Users\Administrator\TIU_CARD\assets\images\specs\spec_003_brood_hq_v2.jpg","생성: 브루드 드론 고화질 참조"
"spec","spec_004_seedspreader_hq.jpg","0.39","C:\Users\Administrator\TIU_CARD\assets\images\specs\spec_004_seedspreader_hq.jpg","시드 스프린더.png"
"spec","spec_008_spore_hq.jpg","0.29","C:\Users\Administrator\TIU_CARD\assets\images\specs\spec_008_spore_hq.jpg","안개 너머 식별되지 않는 무언가.png"
"spec","spec_011_shelltalker_hq.jpg","0.36","C:\Users\Administrator\TIU_CARD\assets\images\specs\spec_011_shelltalker_hq.jpg","쉘토커.png"
"spec","spec_012_bloodpit_hq.jpg","0.36","C:\Users\Administrator\TIU_CARD\assets\images\specs\spec_012_bloodpit_hq.jpg","블러드핏.png"
"spec","spec_015_brainseeker_hq.jpg","0.36","C:\Users\Administrator\TIU_CARD\assets\images\specs\spec_015_brainseeker_hq.jpg","브레인 시커.png"
